Fig. II 35 art. 103,altri pericoli
Fig. II 24 art. 95,animali vaganti domestici
Fig. II 25 art. 95,animali vaganti selvatici
Fig. II 320 art. 135,area pedonale
Fig. II 321 art. 135,area pedonale fine
Fig. II 324 art. 135,attr ciclabile
Fig. II 14 art. 88,attr ciclabile preavviso
Fig. II 14 art. 88,attr ciclabile preavviso
Fig. II 303 art. 135,attr pedonale
Fig. II 13 art. 88,attr pedonale preavviso
Fig. II 23 art. 94,bambini
Fig. II 21 art. 92,banchina cedevole
Fig. II 30/a art. 98,caduta massi dx
Fig. II 30/b art. 98,caduta massi sx
Fig. II 87 art. 122,catene obbligatorie
Fig. II 273 art. 131,centro abitato
Fig. II 273f art. 131,centro abitato fine
Fig. II 92a art. 122,ciclabile pedonale contigua
Fig. II 93a art. 122,ciclabile pedonale contigua fine
Fig. II 92b art. 122,ciclabile pedonale mista
Fig. II 93b art. 122,ciclabile pedonale mista fine
,confine territoriale
,confine territoriale fine
Mod. 5/b2,continua orizzontale
Mod. 5/a2,continua verticale
Fig. II 3 art. 86,cunetta
Fig. II 4 art. 86,curva destra
Fig. II 5 art. 86,curva sinistra
Fig. II 36 art. 106,dare precedenza
Fig. II 80c art. 122,direzione obbligatoria destra
Fig. II 80a art. 122,direzione obbligatoria dritto
Fig. II 80b art. 122,direzione obbligatoria sinistra
Fig. II 15 art. 89,discesa pericolosa
Fig. II 56 art. 117,divieto di transito motocicli
Fig. II 75 art. 120,divieto fermata
Fig. II 51 art. 116,divieto segnalazioni acustiche
Fig. II 48 art. 116,divieto sorpasso
Fig. II 74 art. 120,divieto sosta
Fig. II 75 art. 120,divieto sosta fermata
,divieto sosta temporaneo
Fig. II 46 art. 116,divieto transito
,divieto transito autoarticolati
Fig. II 59 art. 117,divieto transito autobus
Fig. II 60a art. 117,divieto transito autocarri
Fig. II 54 art. 117,divieto transito pedoni
Fig. II 61 art. 117,divieto transito rimorchio
Fig. II 6 art. 86,doppia curva dx
Fig. II 7 art. 86,doppia curva sx
Fig. II 26 art. 96,doppio senso di circolazione
Fig. II 2 art. 85,dosso
Fig. II 304 art. 125,fermata scuolabus
Fig. II 70 art. 119,fine divieto (via libera)
Mod. 5/a3,fine verticale
Mod. 5/b1,inizio orizzontale
Mod. 5/a1,inizio verticale
Mod. 4 art. 83 4/a,integrativo autoarticolato
,integrativo autotreno
Mod. 6 art. 83 6/a,integrativo rimozione
Fig. II 43a art. 112,intersezione con precedenza
Fig. II 40 art. 109,intersezione dare precedenza
Fig. II 50 art. 116,limite velocita 30
Fig. II 50 art. 116,limite velocita 50
Fig. II 50 art. 116,limite velocita 70
Fig. II 50 art. 116,limite velocita 90
Fig. II 76 art. 120,parcheggio
Fig. II 79a art. 120,parcheggio disabili
Fig. II 8 art. 87,passaggio a livello con barriere
Fig. II 9 art. 87,passaggio a livello senza barriere
Fig. II 82b art. 122,passaggio obbligatorio dx
Fig. II 82a art. 122,passaggio obbligatorio sx
Fig. II 88 art. 122,percorso pedonale
Fig. II 92b art. 122,percorso pedonale ciclabile
Fig. II 89 art. 122,percorso pedonale fine
Fig. II 90 art. 122,pista ciclabile
Fig. II 91 art. 122,pista ciclabile fine
Fig. II 80d art. 122,preavviso direzione obbligatoria dx
Fig. II 80e art. 122,preavviso direzione obbligatoria sx
Fig. II 13 art. 88,preavviso pedonale
Fig. II 27 art. 96,preavviso rotatoria
Fig. II 45 art. 114,precedenza senso unico alternato
Fig. II 27 art. 96,rotatoria
Fig. II 16 art. 89,salita ripida
Fig. II 348 art. 135,senso unico dx
Fig. II 349 art. 135,senso unico frontale
Fig. II 348 art. 135,senso unico sx
Fig. II 47 art. 116,senso vietato
Fig. II 37 art. 107,stop
Fig. II 1 art. 85,strada dissestata/deformata
Fig. II 22 art. 93,strada sdrucciolevole
Fig. II 309 art. 135,strada senza uscita
Fig. II 19 art. 90,strettoia asimmetrica dx
Fig. II 18 art. 90,strettoia asimmetrica sx
Fig. II 17 art. 90,strettoia simmetrica
Fig. II 323a art. 135,zona 30
Fig. II 323b art. 135,zona 30 fine
Fig. II 318 art. 135,zona residenziale
Fig. II 319 art. 135,zona residenziale fine
