altri_pericoli.svg,altri pericoli
animali_domestici.svg,animali domestici
animali_selvatici.svg,animali selvatici
area_pedonale_fine.svg,area pedonale fine
area_pedonale.svg,area pedonale
attr_ciclabile_preavviso.svg,attr ciclabile preavviso
attr_ciclabile.svg,attr ciclabile
attr_pedonale_preavviso.svg,attr pedonale preavviso
attr_pedonale.svg,attr pedonale
bambini.svg,bambini
banchina_pericolosa.svg,banchina pericolosa
caduta_massi_dx.svg,caduta massi dx
caduta_massi_sx.svg,caduta massi sx
catene_obbligatorie.svg,catene obbligatorie
centro_ab_fine.svg,centro abitato fine
centro_ab.svg,centro abitato
ciclabile_pedonale_contigua_fine.svg,ciclabile pedonale contigua fine
ciclabile_pedonale_contigua.svg,ciclabile pedonale contigua
ciclabile_pedonale_mista_fine.svg,ciclabile pedonale mista fine
ciclabile_pedonale_mista.svg,ciclabile pedonale mista
confine_terr_fine.svg,confine terr fine
confine_terr.svg,confine terr
continua_orizz.svg,continua orizz
continua_vert.svg,continua vert
cunetta.svg,cunetta
curva_destra.svg,curva destra
curva_sinistra.svg,curva sinistra
direzione_obbligatoria_dritto.svg,direzione obbligatoria dritto
direzione_obbligatoria_dx.svg,direzione obbligatoria dx
direzione_obbligatoria_sx.svg,direzione obbligatoria sx
direzione_obbligatoria_dx_sx.svg,direzione obbligatoria dx e sx
discesa_pericolosa.svg,discesa pericolosa
divieto_fermata.svg,divieto fermata
divieto_transito_motocicli.svg,divieto di transito motocicli
divieto_segnalazioni_acustiche.svg,divieto segnalazioni acustiche
divieto_sorpasso.svg,divieto sorpasso
divieto_sosta_composito.svg,divieto sosta composito
divieto_sosta_fermata.svg,divieto sosta fermata
divieto_sosta.svg,divieto sosta
divieto_sosta_temporaneo.svg,divieto sosta temporaneo
divieto_transito_autobus.svg,divieto transito autobus
divieto_transito_autocarri.svg,divieto transito autocarri
divieto_transito_autocarri_peso.svg,"divieto transito massa X,x t."
divieto_transito_pedoni.svg,divieto transito pedoni
divieto_transito_rimorchio.svg,divieto transito rimorchio
divieto_transito.svg,divieto transito
doppia_curva_dx.svg,doppia curva dx
doppia_curva_sx.svg,doppia curva sx
doppio_senso.svg,doppio senso di circolazione
dosso.svg,dosso
fermata_scuolabus.svg,fermata scuolabus
fine_divieto.svg,fine divieto
fine_vert.svg,fine vert
inizio_orizz.svg,inizio orizz
inizio_vert.svg,inizio vert
integrativo_autoarticolato.svg,integrativo autoarticolato
integrativo_autotreno.svg,integrativo autotreno
integrativo_dist_km.svg,integrativo distanza km
integrativo_dist_m.svg,integrativo distanza m
integrativo_eccetto_autobus.svg,integrativo eccetto autobus urbani
integrativo_estesa_km.svg,Integrativo estesa km
integrativo_estesa_m.svg,Integrativo estesa m
integrativo_permanente.svg,integrativo permanente
integrativo_rimozione.svg,integrativo rimozione
integrativo_validita.svg,integrativo validita
integrativo_validita_feriale.svg,integrativo validita feriale
integrativo_validita_festivo.svg,integrativo validita festivo
intersezione_con_precedenza.svg,intersezione con precedenza
intersezione_dare_precedenza.svg,intersezione dare precedenza
lavori.svg,lavori
limite_velocita_30.svg,limite velocita 30
limite_velocita_50.svg,limite velocita 50
limite_velocita_70.svg,limite velocita 70
limite_velocita_90.svg,limite velocita 90
parcheggio_disabili.svg,parcheggio disabili
parcheggio.svg,parcheggio
passaggio_obbligatorio_dx.svg,passaggio obbligatorio dx
passaggio_obbligatorio_sx.svg,passaggio obbligatorio sx
percorso_pedonale_ciclabile.svg,percorso pedonale ciclabile
percorso_pedonale_fine.svg,percorso pedonale fine
percorso_pedonale.svg,percorso pedonale
pista_ciclabile_fine.svg,pista ciclabile fine
pista_ciclabile.svg,pista ciclabile
preavviso_direzione_obbligatoria_dx.svg,preavviso direzione obbligatoria dx
preavviso_direzione_obbligatoria_sx.svg,preavviso direzione obbligatoria sx
preavviso_pedonale.svg,preavviso pedonale
preavviso_rotatoria.svg,preavviso rotatoria
preavviso_semaforo.svg,preavviso semaforo
preavviso_semaforo_orizz.svg,preavviso semaforo orizzontale
precedenza.svg,precedenza
rotatoria.svg,rotatoria
salita_ripida.svg,salita ripida
senso_unico_alternato.svg,senso unico alternato
senso_unico_dx.svg,senso unico dx
senso_unico_frontale.svg,senso unico frontale
senso_unico_sx.svg,senso unico sx
senso_vietato.svg,senso vietato
stop.svg,stop
strada_dissestata.svg,strada dissestata
strada_scivolosa.svg,strada scivolosa
strada_senza_uscita.svg,strada senza uscita
strettoia_asimmetrica_dx.svg,strettoia asimmetrica dx
strettoia_asimmetrica_sx.svg,strettoia asimmetrica sx
strettoia.svg,strettoia
toponomastica.svg,toponomastica
zona_30_fine.svg,zona 30 fine
zona_30.svg,zona 30
zona_residenziale_fine.svg,zona residenziale fine
zona_residenziale.svg,zona residenziale
zona_rimozione.svg,zona rimozione
